タイトル: オンラインサロンのマネタイズ悩み
録音ID: rec_20260407114112
文字起こしID: 10
録音日時: 2026-04-07T11:41:12.912Z
文字起こし日時: 2026-04-07 11:41:28
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260407114112_5eaff186.webm

[00:12] speaker_0: はい、ということで、今日はお悩みが来ているので、それを取りたいなと思います。はい、ということで本日のお悩みです。ね、30代前半で学習系スクール系ですかね。オンラインサロンを2年ほどやっているという方からの相談です。私が運営している
[00:33] speaker_0: 学習系のオンラインサロン、最近マネタイズの方向性について悩んでいます。月額は980円で気軽に参加ができるプランを設けています。限定動画や Zoom イベントを提供していますが、参加者から結局お金儲けのためのサロンでしょと言われたことがあって、かなりへこみました。せっかく学びの場を提供しているのに、こんな風に思われるのは悲しい
[00:53] speaker_0: イベントや企画コンテンツ制作にもコストがかかっているのに、価格設定、価格の伝え方はどう改善したら参加者へ納得してもらえるのか、途方に暮れています。運営内チーム内でも意見が分かれていて、頭を抱えています。ということでした。なるほど、これ結構あの
[01:14] speaker_0: 何だろうな、困った悩みというか、あるあるでもあるし、なかなかしんどいお悩みですね。すごくね、分かります。えっと、です。ね、まず、学習系のオンラインサロンっていうことなので、何かしらをこう学べるっていう感じなんだとは思うんですけど、
[01:34] speaker_0: 結論、それは正直、何を学んでいても980円は別に高くない。っていうところかな。あの、何かを勉強しようっていう時に1000円未満で学ぶことができる方法って意外と少ないんですよね。本を買ったら一冊だけで1000円当然超えますし、YouTubeの動画を見るとかは全然あり
[01:54] speaker_0: だと思いますよ。ただ、それをするには自分なりにコスト—学習コストとして時間であったり効率であったりっていうのを払うわけですよね。一定のキュレーションが効いている状態で、あとサポートをしてくれるとか、みんなで学ぶとか、いい情報をくれるとか、そういうことが聞いている時点で、ですね、980円
[02:15] speaker_0: で、それを学べるっていうことはすごくいいことです。なので、それが高いですっていうふうに言われることに関しては、そもそも、それはです。ね、980円の高いですというか、これお金儲けのためですって言われるっていうことですよね
[02:34] speaker_0: 高いですっていう風に、まず思わないで、ほしいってことを伝えておきたいなと思います。まず一番、最初、980円で全然安いです
[02:43] speaker_0: 実際にお金を払えないんです。みんなっていう人もいると思うんです。制作によく聞くんですよね。みんなそんなに出せないから、480円にしますとか、280円でやりますとかっていう人もちらほらいます。ユーザーさんの中にクライアントさんの中にね、ただ、それは正直情報の安売りをしている、というか、自分の情報に対する価値を低くする
[03:03] speaker_0: ことによって、ユーザーの期待度まで下げるという状況ですよね。なっているので、僕はね、お勧めしないです。それって
[03:14] speaker_0: すごくちゃんと研究を重ねたり、ちゃんと実績があったりとか、そこからしか得られない情報があるにも関わらず、すごく安い価格で売るということは、ある意味で言うとこの程度の価格だから許してください、っていうことにしかならないと。僕は思ってて、そういう予防線でしかないと。だから情報
[03:34] speaker_0: に関しては、きちんと正しい値段を付けた方がいいですよ、と思います。ただ、逆に薄い内容に対して1万円付けるとか10万円付けるとかいう情報所在地的なこと言い方は僕は全く反対しているところがありますので、そこに関してはね全然別です。でもこの方はかなりちゃんと考えているということで、イベントもやってるし、コンテンツもやってるし、z
[03:54] speaker_0: 動画もやってる。限定の動画も撮ってる。そこまでやっても、お金儲ぎでやってるんでしょって言われるっていうこと。これに関してはね、結論ね、お金儲ぎでやってっちゃ駄目なのっていうところだと僕は思います。お金儲ぎでやってちゃ駄目な理由がよく分からない。お金を稼ぐ、それによって
[04:15] speaker_0: みんながさらに学びの機会を作ることができるようになる循環がそこにあるわけですよね。お金が欲しいっていう、じゃあお金が欲しいからお金儲けなんで、私はもうこのYouTubeとかオンラインサロンの発信やめます。だって外でやってる方が儲かるからだから
[04:35] speaker_0: ごめんなさい、皆さん。僕のためだけに僕は働くので、皆さんにはもう提供しませんって言った方が困ると思いませんか。普通に考えて、だってあなたお金が欲しいんでしょって言われたって、いや、それはそうでしょって話で。お金が欲しいし、みんなを幸せにしたいし、じゃあ僕はオンラインサロンにしようかな
