タイトル: サロンの理念と提供内容の乖離が招く悪影響と運営方針の重要性
録音ID: rec_20260417151630
文字起こしID: 23
録音日時: 2026-04-17T15:16:30.887Z
文字起こし日時: 2026-04-17 15:16:43
エンジン: deepgram
言語: auto
使用テキスト: refined
元ファイル: rec_20260417151630_a6e1e9e25e5bb2e7.webm

[00:00] に回答させていただきますが。
[00:04] まず実践的なスキルを教えてほしいって言われたからよし実践的なカリキュラムしようっていう風なのは悪い発想ではないんですけど、それにシフトしようっていうことはつまり基礎知識を固める当初のサロンの理念を変えちゃおうっていう話だわけですよね基礎知識を
[00:24] 固めるのがサロンの理念だよって反対されたってことは今後はもう実践的な方にしようっていう風な提案をしたと、それに関して言うとサロンの理念を結構軽々しく変えるっていうこと自体は僕はあまりいいことではないと思ってます。というのも単純にそのサロンには
[00:44] 基礎知識を学べるよとか新人さんでもとか初心者でも安心だよっていう風に多分人を集めてると思うんです。じゃなきゃ基礎知識を固める理念を掲げないと思うんでなのに入ってみたら実践的なスキルをやってて結構マニアックなことやってましたって言うと、新しく入ってきた人たちが混乱しちゃうわけですよね。
[01:04] かもその外で言ってることと内でやってることがずれちゃうっていう話になっちゃうので、そういった状態は作るべきではない。
[01:11] と私は思うので基礎知識を固めるのはサロンの遺伝ですよって言った人の意見は一理あると思います。その上でただ実践的なスキルを身につけたいっていう人の意見も分かる。なのでまずでも一点ちょっと注視して欲しいのは声を上げてくるメンバーっていうのは、ですけね非常に少数派であるということです。実際に声を伝えてくるって相当
[01:32] 少数派その人しかいない時だってあります。なのではその人の意見を聞いて自分の興味もそっちにあるから良しそうしようって切り替えちゃったら、もし仮に失敗する可能性も全くあり得るという風に思うので、メンバーからの実践的なスキルを教えて欲しいっていう声多かったって言ってますけど、多かったって言っても多く
[01:52] 多数だったのかっていうところまでは微妙なラインだと思うので、きちんと吟味するのは大事だと思います。とはいえ、実務寄りのカリキュラムをやりたいという風にも思うので、どうするかって言ったら、基礎知識を捨てないままに実践的なスキルを取り入れるっていう風な両輪を
[02:12] カバーする方が良いだろうという風に思います。まずはオンライン勉強会、そのものの内容が今基礎知識から実践的なものに変えたいという風に言っていますけど、勉強会以外のコンテンツで基礎知識をきちんと付けさせるようにシフトするっていうのが現実的なラインでいいんじゃないですか。つまり勉強会で基礎知識を教えるっていうところから勉強会は実践的なものをやる。その代わり、例えば動画教材であったりとか、呼び物であったりとか、AIに聞くとか、そういうことで基礎知識はここでカバーできますよって言って、しかもそれに対して人に質問できる場所を用意するよ。それに関しては古参の人たちと
[02:32] ないかなどと。つまり、勉強会で基礎知識を教えるっていうところから勉強会は実践的なものをやる。その代わり、例えば動画教材であったりとか、呼び物であったりとか、AIに聞くとか、そういうことで基礎知識はここでカバーできますよって言って、しかもそれに対して人に質問できる場所を用意するよ。それに関しては古参の人たちと
[02:52] か 実践 的 な スキル を 身 に 付け て る 人 た ち が より 良 い 答 え を 返し て く れ る よ みたい な 、そう い っ た 場 を 設 ける みたい な 、そんな 感 じ に する と 、基礎 知 識 を 身 に 付け た い な っ て き た 人 は 素晴らし い 動 画 教 材 が 並 ん で て ラ ッキー やっ た っ て なる し 、より 身 より 身 に 付け た 人 た ち は より 実 務 的 な カリ キュラ ム だ っ た り と か 発 展 的 な カリ キュラ ム
[03:12] なのでは結論としてはどっちかを切り捨ててシフトするんじゃなくて、理由に取るのがいいんじゃないですか。とにかく自分が興味があって時間をかけるのは実践的なスキルにするという風に思います。基礎知識はこれまで
[03:32] での知識勉強会のアーカイブそういったものがあると思うので早く時間をかける作業から独立してストックコンテンツに切り替えていくっていうことがいいんじゃないでしょうかと、もう一点だけ問題があるとしたら後半です。会議のために議論がヒートアップしていて先日は理念を曲げるぐらいなら運営を辞めるとまで言われてしまい
[03:52] また、チーム内の対立が続くことに疲弊しています。これ非常に問題ですね。そもそも会議のために議論はヒートアップするものではないです。ヒートアップするっていうことはヒートアップしちゃう要因がどうかにあるはずなんです。言葉遣いが悪いのか、堂々巡りと全く折衷案が生まれない
[04:12] なのか、片方が非常に頑固であるのかね、分からないです。でもヒートアップしちゃう原因を取り除かないで会議のためにヒートアップしてるっていうのは、それは会議の仕方が悪い訳なので、時間を決めるとか敬語を使うとか熱い言い回しになっちゃったらもう会議はできるとか、文字だけでやるとか、文字で喧嘩する
[04:33] ちゃうんだったら音声でやるとか、なんかいろんな工夫をしてヒートアップしないようにしてみてください。もちろん冷却期間を設けるものでいいです。いったんこれ棚上げして一ヵ月後にもう一回議論しようでもいいと思いますよ。そしたらお互い気持ち落ち着いてると思いますから、今この場で結論が出ないからって毎回ヒートアップするっていうのは良くないことだと思いますね。運営上も。
[04:53] 良くないことだと思いますね。運営上も。しかもそれで最終辞めるとまで言われてるわけですから
[05:01] 最終運営事務としてどうすれば一つの方向性を見いだせるでしょうかっていうね、そういったご相談だったんですけど、少なくともこの相談内容からは基礎知識を固めることに焦点を当てよう、戻そうっていう風にはオーナーさんからの言葉ではあんまり感じないし、この基
[05:21] 基礎知識 を 固め る の が 大事 だ ろっ て 言っ て る 人 は
[05:26] 理念やめるなら運営やめるって言ってるぐらい頑固なんだから、なかなかその折衷案というのは折衷案というかどっちかに舵を切るとどっちかがいなくなるっていう話になっちゃうんだろうなと思うんですよね。なんで折衷案を取るっていうのがいいんじゃないかと思います。もちろんオーナーとしてこっちだぞってカジ切って
